area_name,year,group_name,sub_group_name,k_a_cases_reported,k_a_female_10_15_years,k_a_female_15_18_years,k_a_female_18_30_years,k_a_female_30_50_years,k_a_female_above_50_years,k_a_female_total,k_a_female_upto_10_years,k_a_grand_total,k_a_male_10_15_years,k_a_male_15_18_years,k_a_male_18_30_years,k_a_male_30_50_years,k_a_male_above_50_years,k_a_male_total,k_a_male_upto_10_years
Madhya Pradesh,2003,Kidnap - For Other Purposes,13. Other Purposes,316,15,49,110,9,,194,11,316,19,13,53,25,4,122,8
Maharashtra,2003,Kidnap - For Other Purposes,13. Other Purposes,353,14,13,66,19,1,127,14,359,13,9,104,91,4,232,11
Manipur,2003,Kidnap - For Other Purposes,13. Other Purposes,49,0,0,,0,0,0,0,67,0,0,18,45,4,67,0
Meghalaya,2003,Kidnap - For Other Purposes,13. Other Purposes,14,1,1,1,1,0,4,0,14,0,0,3,6,0,10,1
Nagaland,2003,Kidnap - For Other Purposes,13. Other Purposes,38,0,0,2,0,0,2,0,89,0,0,37,45,5,87,0
Odisha,2003,Kidnap - For Other Purposes,13. Other Purposes,187,1,2,96,5,0,104,0,187,0,0,64,19,0,83,0
Puducherry,2003,Kidnap - For Other Purposes,13. Other Purposes,5,,,,1,,1,,6,,,3,2,,5,
Punjab,2003,Kidnap - For Other Purposes,13. Other Purposes,239,7,16,96,2,0,122,1,256,3,4,79,41,4,134,3
Rajasthan,2003,Kidnap - For Other Purposes,13. Other Purposes,974,,,425,79,9,513,,974,,2,318,131,10,461,
Tamil Nadu,2003,Kidnap - For Other Purposes,13. Other Purposes,297,6,3,86,31,6,133,1,319,2,1,88,76,15,186,4
Tripura,2003,Kidnap - For Other Purposes,13. Other Purposes,57,,,5,3,,8,,57,0,0,30,18,1,49,
Uttar Pradesh,2003,Kidnap - For Other Purposes,13. Other Purposes,369,4,44,6,,,55,1,372,8,37,172,86,10,317,4
Uttarakhand,2003,Kidnap - For Other Purposes,13. Other Purposes,72,0,0,41,0,0,41,0,73,0,0,25,7,0,32,0
West Bengal,2003,Kidnap - For Other Purposes,13. Other Purposes,212,0,0,189,14,0,203,0,212,0,0,9,0,0,9,0
Andaman & Nicobar Islands,2004,Kidnap - For Other Purposes,13. Other Purposes,1,1,,,,,2,1,2,0,,,,,,0
Andhra Pradesh,2004,Kidnap - For Other Purposes,13. Other Purposes,695,43,48,182,87,13,388,15,701,19,27,125,111,10,313,21
Arunachal Pradesh,2004,Kidnap - For Other Purposes,13. Other Purposes,29,3,0,2,0,0,5,0,29,0,0,18,6,0,24,0
Assam,2004,Kidnap - For Other Purposes,13. Other Purposes,256,0,0,27,10,0,37,0,256,0,0,122,97,0,219,0
Bihar,2004,Kidnap - For Other Purposes,13. Other Purposes,1784,0,0,107,7,0,114,0,1784,1,0,894,754,20,1670,1
Chandigarh,2004,Kidnap - For Other Purposes,13. Other Purposes,21,1,9,3,0,0,14,1,21,1,1,3,1,0,7,1
Chhattisgarh,2004,Kidnap - For Other Purposes,13. Other Purposes,40,4,0,0,0,0,10,6,40,0,9,11,4,0,30,6
Dadra & Nagar Haveli,2004,Kidnap - For Other Purposes,13. Other Purposes,6,1,0,0,0,0,1,0,6,0,1,2,2,0,5,0
Daman & Diu,2004,Kidnap - For Other Purposes,13. Other Purposes,2,,,,,,0,,2,,,2,,,2,
Delhi,2004,Kidnap - For Other Purposes,13. Other Purposes,842,90,63,217,53,1,512,88,842,80,38,56,42,4,330,110
Goa,2004,Kidnap - For Other Purposes,13. Other Purposes,8,1,2,2,,,5,,8,,,1,1,0,3,1
Gujarat,2004,Kidnap - For Other Purposes,13. Other Purposes,242,6,7,92,14,4,133,10,247,8,7,63,33,1,114,2
Haryana,2004,Kidnap - For Other Purposes,13. Other Purposes,132,0,0,51,3,0,54,0,126,0,1,48,19,4,72,0
Himachal Pradesh,2004,Kidnap - For Other Purposes,13. Other Purposes,26,1,1,4,2,0,9,1,28,0,2,8,6,0,19,3
Jammu & Kashmir,2004,Kidnap - For Other Purposes,13. Other Purposes,188,,0,99,6,,105,,188,,,33,49,1,83,
Jharkhand,2004,Kidnap - For Other Purposes,13. Other Purposes,179,,,4,3,,7,,72,,1,32,32,,65,
Karnataka,2004,Kidnap - For Other Purposes,13. Other Purposes,455,0,0,184,51,6,249,8,461,3,0,83,99,18,212,9
Kerala,2004,Kidnap - For Other Purposes,13. Other Purposes,155,6,23,38,17,,85,1,155,1,5,17,35,10,70,2
Madhya Pradesh,2004,Kidnap - For Other Purposes,13. Other Purposes,425,0,55,156,30,3,244,0,425,0,7,79,90,5,181,0
Maharashtra,2004,Kidnap - For Other Purposes,13. Other Purposes,384,20,45,76,32,3,188,12,395,12,4,72,79,8,207,32
Manipur,2004,Kidnap - For Other Purposes,13. Other Purposes,20,0,0,0,0,0,0,0,28,0,0,18,9,1,28,0
Meghalaya,2004,Kidnap - For Other Purposes,13. Other Purposes,20,0,0,0,0,0,1,1,20,4,4,8,2,0,19,1
Mizoram,2004,Kidnap - For Other Purposes,13. Other Purposes,10,0,0,2,0,3,5,0,10,0,0,4,1,0,5,0
Nagaland,2004,Kidnap - For Other Purposes,13. Other Purposes,23,0,0,0,0,0,0,0,25,0,0,13,12,0,25,0
Odisha,2004,Kidnap - For Other Purposes,13. Other Purposes,261,9,10,138,13,0,170,0,264,1,0,78,14,1,94,0
Punjab,2004,Kidnap - For Other Purposes,13. Other Purposes,223,4,8,83,5,0,103,3,242,3,6,95,32,1,139,2
Rajasthan,2004,Kidnap - For Other Purposes,13. Other Purposes,1019,7,27,410,83,2,531,2,1019,7,10,300,161,5,488,5
Sikkim,2004,Kidnap - For Other Purposes,13. Other Purposes,3,1,0,0,1,,2,0,3,0,0,0,1,,1,0
Tamil Nadu,2004,Kidnap - For Other Purposes,13. Other Purposes,266,1,3,121,2,2,131,2,273,0,0,79,53,6,142,4
Tripura,2004,Kidnap - For Other Purposes,13. Other Purposes,6,0,0,0,,,1,1,9,0,0,7,,,8,1
Uttar Pradesh,2004,Kidnap - For Other Purposes,13. Other Purposes,494,35,22,83,15,0,155,0,494,18,27,277,7,8,339,2
Uttarakhand,2004,Kidnap - For Other Purposes,13. Other Purposes,81,0,0,0,0,0,0,0,81,0,4,52,25,0,81,0
West Bengal,2004,Kidnap - For Other Purposes,13. Other Purposes,274,0,0,154,41,0,195,0,274,0,0,60,19,0,79,0
Andaman & Nicobar Islands,2005,Kidnap - For Other Purposes,13. Other Purposes,1,0,,,,,,,1,1,,,,,1,
Andhra Pradesh,2005,Kidnap - For Other Purposes,13. Other Purposes,764,13,11,192,78,15,318,9,764,21,20,212,157,19,446,17
Arunachal Pradesh,2005,Kidnap - For Other Purposes,13. Other Purposes,22,1,0,4,0,0,5,0,22,3,0,13,1,0,17,0
Assam,2005,Kidnap - For Other Purposes,13. Other Purposes,187,0,0,0,0,0,0,0,187,0,0,101,86,0,187,0
Bihar,2005,Kidnap - For Other Purposes,13. Other Purposes,1255,0,6,40,1,0,47,0,1255,2,0,900,286,20,1208,0
Chandigarh,2005,Kidnap - For Other Purposes,13. Other Purposes,18,2,8,4,0,0,14,0,19,1,1,2,1,0,5,0
Chhattisgarh,2005,Kidnap - For Other Purposes,13. Other Purposes,69,1,12,4,3,0,20,0,69,1,4,35,7,1,49,1
Dadra & Nagar Haveli,2005,Kidnap - For Other Purposes,13. Other Purposes,8,,3,2,1,,6,,8,,,2,,,2,
Daman & Diu,2005,Kidnap - For Other Purposes,13. Other Purposes,2,,2,,,,2,,2,,,,,,,
Delhi,2005,Kidnap - For Other Purposes,13. Other Purposes,1260,67,80,376,92,1,660,44,1264,54,40,262,178,,604,70
Goa,2005,Kidnap - For Other Purposes,13. Other Purposes,11,4,,3,,,8,1,14,,,2,2,,6,2
Gujarat,2005,Kidnap - For Other Purposes,13. Other Purposes,276,5,28,55,29,0,120,3,276,14,4,86,33,6,156,13
Haryana,2005,Kidnap - For Other Purposes,13. Other Purposes,133,1,9,23,1,0,36,2,134,4,8,58,27,1,98,0
Himachal Pradesh,2005,Kidnap - For Other Purposes,13. Other Purposes,18,0,0,1,3,0,4,0,18,0,1,8,3,1,14,1
Jammu & Kashmir,2005,Kidnap - For Other Purposes,13. Other Purposes,168,2,0,74,8,3,87,0,168,1,0,51,24,5,81,0
Jharkhand,2005,Kidnap - For Other Purposes,13. Other Purposes,421,0,0,13,12,0,25,0,421,2,5,176,213,0,396,0
Karnataka,2005,Kidnap - For Other Purposes,13. Other Purposes,421,4,8,142,39,0,193,0,425,0,4,132,89,4,232,3
Kerala,2005,Kidnap - For Other Purposes,13. Other Purposes,176,8,5,51,14,,83,5,183,4,3,38,46,6,100,3
Madhya Pradesh,2005,Kidnap - For Other Purposes,13. Other Purposes,340,19,18,74,57,3,181,10,340,11,36,59,41,5,159,7
Maharashtra,2005,Kidnap - For Other Purposes,13. Other Purposes,455,10,38,124,12,1,195,10,474,17,17,108,107,12,279,18
Manipur,2005,Kidnap - For Other Purposes,13. Other Purposes,41,0,1,3,0,0,5,1,45,0,0,16,20,4,40,0
Meghalaya,2005,Kidnap - For Other Purposes,13. Other Purposes,18,0,0,4,0,0,4,0,18,0,0,11,3,0,14,0
Mizoram,2005,Kidnap - For Other Purposes,13. Other Purposes,10,0,0,2,0,3,5,0,10,0,0,4,1,0,5,0
Nagaland,2005,Kidnap - For Other Purposes,13. Other Purposes,11,0,0,2,0,0,2,0,11,0,0,9,0,0,9,0
Odisha,2005,Kidnap - For Other Purposes,13. Other Purposes,219,8,0,181,0,0,189,0,219,1,0,29,0,0,30,0
Punjab,2005,Kidnap - For Other Purposes,13. Other Purposes,260,2,3,109,8,1,125,2,262,5,2,75,45,4,137,6
Rajasthan,2005,Kidnap - For Other Purposes,13. Other Purposes,981,28,20,413,90,5,559,3,981,6,8,267,131,8,422,2
Tamil Nadu,2005,Kidnap - For Other Purposes,13. Other Purposes,357,2,6,132,38,,179,1,369,1,,125,54,9,190,1
Tripura,2005,Kidnap - For Other Purposes,13. Other Purposes,34,0,0,19,,,21,2,37,0,2,9,5,,16,
Uttar Pradesh,2005,Kidnap - For Other Purposes,13. Other Purposes,456,0,2,44,2,0,48,0,456,11,45,202,132,15,408,3
Uttarakhand,2005,Kidnap - For Other Purposes,13. Other Purposes,91,0,0,20,0,0,20,0,91,0,0,64,7,0,71,0
West Bengal,2005,Kidnap - For Other Purposes,13. Other Purposes,150,0,0,1,1,0,2,0,150,0,0,144,4,0,148,0
Andaman & Nicobar Islands,2006,Kidnap - For Other Purposes,13. Other Purposes,5,2,2,1,,,5,,5,,,,,,,
Andhra Pradesh,2006,Kidnap - For Other Purposes,13. Other Purposes,1051,54,45,304,60,2,491,26,1054,20,9,269,247,6,563,12
Arunachal Pradesh,2006,Kidnap - For Other Purposes,13. Other Purposes,26,2,0,0,0,0,2,0,26,0,0,19,5,0,24,0
Assam,2006,Kidnap - For Other Purposes,13. Other Purposes,221,0,0,69,20,0,89,0,221,0,0,101,31,0,132,0
Bihar,2006,Kidnap - For Other Purposes,13. Other Purposes,1343,0,0,85,177,0,262,0,1343,0,10,761,182,128,1081,0
Chandigarh,2006,Kidnap - For Other Purposes,13. Other Purposes,5,0,0,1,1,0,6,4,6,0,0,0,0,0,0,0
Chhattisgarh,2006,Kidnap - For Other Purposes,13. Other Purposes,82,2,14,9,1,0,27,1,82,11,5,20,15,2,55,2
Dadra & Nagar Haveli,2006,Kidnap - For Other Purposes,13. Other Purposes,6,0,0,1,1,0,2,0,7,0,0,2,0,0,5,3
Daman & Diu,2006,Kidnap - For Other Purposes,13. Other Purposes,3,0,1,0,1,0,2,0,5,0,0,0,3,0,3,0
Delhi,2006,Kidnap - For Other Purposes,13. Other Purposes,1167,210,324,144,20,,808,110,1177,112,60,60,31,,369,106
Goa,2006,Kidnap - For Other Purposes,13. Other Purposes,11,2,3,1,,,6,,13,1,1,2,3,,7,
Gujarat,2006,Kidnap - For Other Purposes,13. Other Purposes,190,10,19,12,6,0,55,8,189,14,9,63,28,3,134,17
Haryana,2006,Kidnap - For Other Purposes,13. Other Purposes,191,2,19,20,7,2,52,2,155,2,2,66,30,2,103,1
Himachal Pradesh,2006,Kidnap - For Other Purposes,13. Other Purposes,31,0,2,7,1,0,10,0,32,1,2,9,7,1,22,2
Jammu & Kashmir,2006,Kidnap - For Other Purposes,13. Other Purposes,100,1,0,35,9,0,46,1,109,0,0,26,35,2,63,0
Jharkhand,2006,Kidnap - For Other Purposes,13. Other Purposes,223,2,4,13,21,0,40,0,94,5,9,27,11,0,54,2
Karnataka,2006,Kidnap - For Other Purposes,13. Other Purposes,396,8,13,143,33,2,202,3,433,4,6,130,74,12,231,5
Kerala,2006,Kidnap - For Other Purposes,13. Other Purposes,186,8,10,66,14,1,105,6,193,3,4,39,30,9,88,3
Madhya Pradesh,2006,Kidnap - For Other Purposes,13. Other Purposes,334,10,18,146,22,0,199,3,335,8,13,64,42,3,136,6
Maharashtra,2006,Kidnap - For Other Purposes,13. Other Purposes,411,20,20,69,21,0,164,34,436,35,47,81,75,9,272,25
Manipur,2006,Kidnap - For Other Purposes,13. Other Purposes,71,3,4,14,0,0,21,0,75,4,0,18,30,0,54,2
Meghalaya,2006,Kidnap - For Other Purposes,13. Other Purposes,13,0,0,1,0,0,1,0,13,0,3,2,7,0,12,0
Mizoram,2006,Kidnap - For Other Purposes,13. Other Purposes,4,0,0,0,0,0,0,0,2,0,2,0,0,0,2,0
Nagaland,2006,Kidnap - For Other Purposes,13. Other Purposes,28,1,1,0,0,0,2,0,29,1,0,15,8,3,27,0
Odisha,2006,Kidnap - For Other Purposes,13. Other Purposes,222,2,15,100,24,0,141,0,226,1,5,65,6,8,85,0
Puducherry,2006,Kidnap - For Other Purposes,13. Other Purposes,6,,,,,,2,2,6,,,1,1,,4,2
Punjab,2006,Kidnap - For Other Purposes,13. Other Purposes,223,6,6,37,3,,56,4,232,5,12,92,45,9,176,13
Rajasthan,2006,Kidnap - For Other Purposes,13. Other Purposes,875,23,69,277,96,3,471,3,875,15,37,174,152,20,404,6
Sikkim,2006,Kidnap - For Other Purposes,13. Other Purposes,2,1,1,,,,2,,2,,,,,,,
Tamil Nadu,2006,Kidnap - For Other Purposes,13. Other Purposes,351,1,14,151,23,2,193,2,359,4,4,84,59,12,166,3
Tripura,2006,Kidnap - For Other Purposes,13. Other Purposes,40,,,13,,1,14,,40,,,16,7,3,26,
Uttar Pradesh,2006,Kidnap - For Other Purposes,13. Other Purposes,487,0,0,11,43,0,54,0,487,0,0,266,151,14,433,2
Uttarakhand,2006,Kidnap - For Other Purposes,13. Other Purposes,108,0,0,79,9,0,88,0,109,0,0,20,1,0,21,0
West Bengal,2006,Kidnap - For Other Purposes,13. Other Purposes,35,0,4,4,1,0,10,1,35,0,0,21,3,1,25,0
Andaman & Nicobar Islands,2007,Kidnap - For Other Purposes,13. Other Purposes,12,1,5,3,1,,10,,13,1,1,,1,,3,
Andhra Pradesh,2007,Kidnap - For Other Purposes,13. Other Purposes,962,33,25,380,144,12,616,22,954,12,9,155,118,20,338,24
Arunachal Pradesh,2007,Kidnap - For Other Purposes,13. Other Purposes,15,0,0,0,0,0,0,0,15,0,0,8,7,0,15,0
Assam,2007,Kidnap - For Other Purposes,13. Other Purposes,500,0,0,86,14,0,100,0,500,0,0,289,111,0,400,0
Bihar,2007,Kidnap - For Other Purposes,13. Other Purposes,1131,1,29,64,2,0,96,0,1131,26,56,790,156,3,1035,4
Chandigarh,2007,Kidnap - For Other Purposes,13. Other Purposes,7,0,0,0,1,0,2,1,9,0,1,4,0,0,7,2
Chhattisgarh,2007,Kidnap - For Other Purposes,13. Other Purposes,94,3,14,11,5,0,38,5,94,3,5,24,18,0,56,6
Dadra & Nagar Haveli,2007,Kidnap - For Other Purposes,13. Other Purposes,3,,,,,,,,3,,,,2,,3,1
Daman & Diu,2007,Kidnap - For Other Purposes,13. Other Purposes,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0
Delhi,2007,Kidnap - For Other Purposes,13. Other Purposes,1341,123,242,368,15,,899,151,1421,71,79,60,61,6,522,245
Goa,2007,Kidnap - For Other Purposes,13. Other Purposes,8,1,1,1,,,3,,8,1,1,2,1,,5,
Gujarat,2007,Kidnap - For Other Purposes,13. Other Purposes,303,13,6,98,28,1,153,7,314,9,9,82,43,6,161,12
Haryana,2007,Kidnap - For Other Purposes,13. Other Purposes,269,13,3,72,5,0,97,4,270,4,8,11,138,6,173,6
Himachal Pradesh,2007,Kidnap - For Other Purposes,13. Other Purposes,41,4,10,10,2,0,27,1,42,2,1,4,6,0,15,2
Jammu & Kashmir,2007,Kidnap - For Other Purposes,13. Other Purposes,100,1,0,54,8,0,63,0,106,0,0,23,20,0,43,0
Jharkhand,2007,Kidnap - For Other Purposes,13. Other Purposes,127,0,4,18,3,0,25,0,127,6,15,46,35,0,102,0
Karnataka,2007,Kidnap - For Other Purposes,13. Other Purposes,486,21,32,165,19,1,243,5,527,4,6,168,91,10,284,5
Kerala,2007,Kidnap - For Other Purposes,13. Other Purposes,143,8,15,47,11,,89,8,150,,2,28,21,6,61,4
Madhya Pradesh,2007,Kidnap - For Other Purposes,13. Other Purposes,350,34,19,123,11,1,197,9,357,8,11,92,36,3,160,10
Maharashtra,2007,Kidnap - For Other Purposes,13. Other Purposes,499,47,70,60,17,1,227,32,524,30,26,112,81,15,297,33
Manipur,2007,Kidnap - For Other Purposes,13. Other Purposes,74,1,4,9,5,0,23,4,118,2,2,38,45,6,95,2
Meghalaya,2007,Kidnap - For Other Purposes,13. Other Purposes,37,4,0,6,0,0,10,0,37,0,0,18,8,0,27,1
Mizoram,2007,Kidnap - For Other Purposes,13. Other Purposes,4,0,0,2,0,0,2,0,4,0,0,2,0,0,2,0
Nagaland,2007,Kidnap - For Other Purposes,13. Other Purposes,13,0,0,1,2,0,5,2,13,0,0,3,5,0,8,0
Odisha,2007,Kidnap - For Other Purposes,13. Other Purposes,285,6,13,100,16,4,139,0,290,1,4,115,31,0,151,0
Puducherry,2007,Kidnap - For Other Purposes,13. Other Purposes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Punjab,2007,Kidnap - For Other Purposes,13. Other Purposes,264,9,12,57,4,2,90,6,283,11,7,91,66,8,193,10
Rajasthan,2007,Kidnap - For Other Purposes,13. Other Purposes,1019,52,140,256,86,8,550,8,1019,20,47,237,133,14,469,18
Sikkim,2007,Kidnap - For Other Purposes,13. Other Purposes,5,,3,1,,,5,1,5,,,,,,,
Tamil Nadu,2007,Kidnap - For Other Purposes,13. Other Purposes,334,10,41,122,37,0,217,7,350,2,3,61,56,8,133,3
Tripura,2007,Kidnap - For Other Purposes,13. Other Purposes,16,,,10,,,10,,16,,,2,4,,6,
Uttar Pradesh,2007,Kidnap - For Other Purposes,13. Other Purposes,803,5,8,73,17,,103,,803,41,73,332,221,31,700,2
Uttarakhand,2007,Kidnap - For Other Purposes,13. Other Purposes,48,3,3,10,9,,25,,48,5,3,11,3,1,23,
West Bengal,2007,Kidnap - For Other Purposes,13. Other Purposes,706,1,1,544,52,0,598,0,706,2,0,86,19,0,108,1
Andaman & Nicobar Islands,2008,Kidnap - For Other Purposes,13. Other Purposes,17,1,8,1,2,,12,,17,3,,,2,,5,
Andhra Pradesh,2008,Kidnap - For Other Purposes,13. Other Purposes,785,28,26,278,70,3,409,4,804,13,13,189,156,22,395,2
Arunachal Pradesh,2008,Kidnap - For Other Purposes,13. Other Purposes,34,5,2,8,2,0,17,0,34,0,0,11,6,0,17,0
Assam,2008,Kidnap - For Other Purposes,13. Other Purposes,582,0,0,115,48,0,163,0,582,0,0,315,104,0,419,0
Bihar,2008,Kidnap - For Other Purposes,13. Other Purposes,956,0,0,82,23,2,109,2,943,7,13,671,126,15,834,2
Chandigarh,2008,Kidnap - For Other Purposes,13. Other Purposes,14,1,2,3,0,0,8,2,17,1,0,6,0,1,9,1
Chhattisgarh,2008,Kidnap - For Other Purposes,13. Other Purposes,68,7,4,25,0,0,38,2,68,3,8,15,3,0,30,1
Dadra & Nagar Haveli,2008,Kidnap - For Other Purposes,13. Other Purposes,7,,,,,,1,1,7,,,2,2,1,6,1
Daman & Diu,2008,Kidnap - For Other Purposes,13. Other Purposes,4,,,0,0,0,0,,4,,,4,0,0,4,
Delhi,2008,Kidnap - For Other Purposes,13. Other Purposes,1268,239,346,154,7,2,882,134,1296,101,48,82,29,3,414,151
Goa,2008,Kidnap - For Other Purposes,13. Other Purposes,23,4,9,2,1,0,18,2,26,1,0,2,3,1,8,1
Gujarat,2008,Kidnap - For Other Purposes,13. Other Purposes,237,12,26,38,6,0,91,9,245,21,5,70,44,2,154,12
Haryana,2008,Kidnap - For Other Purposes,13. Other Purposes,267,27,10,78,6,1,123,1,270,3,10,94,33,5,147,2
Himachal Pradesh,2008,Kidnap - For Other Purposes,13. Other Purposes,25,0,4,7,1,0,14,2,28,1,3,6,3,0,14,1
Jammu & Kashmir,2008,Kidnap - For Other Purposes,13. Other Purposes,60,0,0,22,4,0,26,0,60,0,1,26,7,0,34,0
Jharkhand,2008,Kidnap - For Other Purposes,13. Other Purposes,358,2,10,93,19,0,124,0,358,6,8,140,74,5,234,1
Karnataka,2008,Kidnap - For Other Purposes,13. Other Purposes,543,11,43,226,31,2,322,9,571,1,2,146,79,12,249,9
Kerala,2008,Kidnap - For Other Purposes,13. Other Purposes,114,1,13,28,9,1,54,2,118,7,1,26,24,4,64,2
Madhya Pradesh,2008,Kidnap - For Other Purposes,13. Other Purposes,295,8,24,116,5,0,153,0,295,9,10,80,37,0,142,6
Maharashtra,2008,Kidnap - For Other Purposes,13. Other Purposes,493,51,44,65,21,1,206,24,514,32,22,129,79,11,308,35
Manipur,2008,Kidnap - For Other Purposes,13. Other Purposes,83,13,8,6,4,0,32,1,118,15,6,24,27,13,86,1
Meghalaya,2008,Kidnap - For Other Purposes,13. Other Purposes,24,0,2,7,0,0,9,0,24,0,6,7,2,0,15,0
Mizoram,2008,Kidnap - For Other Purposes,13. Other Purposes,7,0,0,0,0,0,2,2,7,0,0,5,0,0,5,0
Nagaland,2008,Kidnap - For Other Purposes,13. Other Purposes,41,0,2,3,1,0,6,0,41,0,0,14,14,7,35,0
Odisha,2008,Kidnap - For Other Purposes,13. Other Purposes,345,1,0,144,101,0,246,0,345,1,1,82,8,7,99,0
Puducherry,2008,Kidnap - For Other Purposes,13. Other Purposes,5,1,,,,,1,0,5,,0,,,,4,4
Punjab,2008,Kidnap - For Other Purposes,13. Other Purposes,269,1,2,85,19,1,111,3,275,4,5,81,53,8,164,13
Rajasthan,2008,Kidnap - For Other Purposes,13. Other Purposes,1308,53,161,511,84,12,830,9,1313,13,33,260,151,18,483,8
Tamil Nadu,2008,Kidnap - For Other Purposes,13. Other Purposes,422,4,56,101,82,1,246,2,431,1,6,62,101,9,185,6
Tripura,2008,Kidnap - For Other Purposes,13. Other Purposes,41,,14,7,,,21,,41,2,2,7,7,,20,2
Uttar Pradesh,2008,Kidnap - For Other Purposes,13. Other Purposes,748,0,12,42,7,0,61,0,748,40,124,349,161,9,687,4
Uttarakhand,2008,Kidnap - For Other Purposes,13. Other Purposes,89,,,38,29,,67,,90,4,1,12,5,,23,1
West Bengal,2008,Kidnap - For Other Purposes,13. Other Purposes,1167,23,0,805,21,0,849,0,1167,0,70,216,32,0,318,0
Andaman & Nicobar Islands,2009,Kidnap - For Other Purposes,13. Other Purposes,16,1,7,5,1,,16,2,19,,,1,1,,3,1
Andhra Pradesh,2009,Kidnap - For Other Purposes,13. Other Purposes,782,2,106,245,63,3,434,15,789,22,21,121,156,19,355,16
Arunachal Pradesh,2009,Kidnap - For Other Purposes,13. Other Purposes,33,0,0,0,0,0,0,0,33,6,0,20,7,0,33,0
Assam,2009,Kidnap - For Other Purposes,13. Other Purposes,782,0,0,146,55,0,201,0,782,0,0,374,207,0,581,0
Bihar,2009,Kidnap - For Other Purposes,13. Other Purposes,825,2,30,22,0,0,57,3,843,27,83,548,123,4,786,1
Chandigarh,2009,Kidnap - For Other Purposes,13. Other Purposes,18,4,4,5,1,0,16,2,20,1,0,1,0,0,4,2
Chhattisgarh,2009,Kidnap - For Other Purposes,13. Other Purposes,199,17,7,25,40,0,94,5,199,8,19,40,37,0,105,1
Dadra & Nagar Haveli,2009,Kidnap - For Other Purposes,13. Other Purposes,2,,,,,,,,2,,,1,1,,2,
Delhi,2009,Kidnap - For Other Purposes,13. Other Purposes,2245,514,623,62,59,,1432,174,2377,341,128,75,46,4,945,351
Goa,2009,Kidnap - For Other Purposes,13. Other Purposes,22,3,6,2,0,0,15,4,23,1,0,4,1,0,8,2
Gujarat,2009,Kidnap - For Other Purposes,13. Other Purposes,205,15,20,32,4,0,83,12,198,3,8,50,36,2,115,16
Haryana,2009,Kidnap - For Other Purposes,13. Other Purposes,271,3,7,82,1,0,93,0,271,3,8,107,54,2,178,4
Himachal Pradesh,2009,Kidnap - For Other Purposes,13. Other Purposes,34,2,5,4,0,0,11,0,34,0,2,8,10,1,23,2
Jammu & Kashmir,2009,Kidnap - For Other Purposes,13. Other Purposes,198,3,18,119,22,0,162,0,193,1,2,19,9,0,31,0
Jharkhand,2009,Kidnap - For Other Purposes,13. Other Purposes,307,0,2,72,1,1,76,0,307,0,0,137,94,0,231,0
Karnataka,2009,Kidnap - For Other Purposes,13. Other Purposes,686,10,0,306,75,0,397,6,690,8,18,148,107,5,293,7
Kerala,2009,Kidnap - For Other Purposes,13. Other Purposes,104,7,4,27,5,1,47,3,108,0,4,21,27,5,61,4
Madhya Pradesh,2009,Kidnap - For Other Purposes,13. Other Purposes,307,9,23,94,29,0,166,11,312,13,16,72,33,5,146,7
Maharashtra,2009,Kidnap - For Other Purposes,13. Other Purposes,457,21,36,68,14,2,166,25,466,24,25,129,90,15,300,17
Manipur,2009,Kidnap - For Other Purposes,13. Other Purposes,77,0,10,18,2,0,31,1,92,2,4,20,19,16,61,0
Meghalaya,2009,Kidnap - For Other Purposes,13. Other Purposes,28,1,0,2,0,0,3,0,29,0,1,16,6,3,26,0
Mizoram,2009,Kidnap - For Other Purposes,13. Other Purposes,7,,,,,,1,1,7,,,6,,,6,
Nagaland,2009,Kidnap - For Other Purposes,13. Other Purposes,35,0,0,4,2,0,6,0,35,0,0,10,18,1,29,0
Odisha,2009,Kidnap - For Other Purposes,13. Other Purposes,388,2,25,191,33,2,253,0,388,0,0,114,16,4,135,1
Puducherry,2009,Kidnap - For Other Purposes,13. Other Purposes,6,0,1,1,1,,4,1,6,,,1,0,,2,1
Punjab,2009,Kidnap - For Other Purposes,13. Other Purposes,202,8,3,29,5,,53,8,214,8,8,73,56,7,161,9
Rajasthan,2009,Kidnap - For Other Purposes,13. Other Purposes,1494,84,210,542,94,7,953,16,1505,19,60,282,157,17,552,17
Sikkim,2009,Kidnap - For Other Purposes,13. Other Purposes,2,4,,,,,4,,4,,,,,,,
Tamil Nadu,2009,Kidnap - For Other Purposes,13. Other Purposes,465,21,57,149,27,2,257,1,473,1,8,91,90,19,216,7
Tripura,2009,Kidnap - For Other Purposes,13. Other Purposes,29,,,,,,,,29,,,21,8,,29,
Uttar Pradesh,2009,Kidnap - For Other Purposes,13. Other Purposes,813,1,1,28,6,0,36,0,813,49,94,390,226,14,777,4
Uttarakhand,2009,Kidnap - For Other Purposes,13. Other Purposes,113,,,56,30,,86,,113,2,,20,5,,27,
West Bengal,2009,Kidnap - For Other Purposes,13. Other Purposes,989,10,12,654,198,0,876,2,989,2,9,56,25,20,113,1
Andaman & Nicobar Islands,2010,Kidnap - For Other Purposes,13. Other Purposes,8,5,1,,,,6,,8,,1,,1,,2,
Andhra Pradesh,2010,Kidnap - For Other Purposes,13. Other Purposes,808,30,82,155,110,10,422,35,808,8,16,210,131,13,386,8
